DATE,SOURCE_ID,EXTERNAL_REFERENCE,RECORD_TYPE,DESCRIPTION,NET_CREDIT_AMOUNT,NET_DEBIT_AMOUNT,GROSS_AMOUNT,SELLER_AMOUNT,MP_FEE_AMOUNT,FINANCING_FEE_AMOUNT,SHIPPING_FEE_AMOUNT,TAXES_AMOUNT,COUPON_AMOUNT,INSTALLMENTS,PAYMENT_METHOD,TAX_DETAIL,TAX_AMOUNT_TELCO,TRANSACTION_APPROVAL_DATE,POS_ID,POS_NAME,EXTERNAL_POS_ID,STORE_ID,STORE_NAME,EXTERNAL_STORE_ID,CURRENCY,TAXES_DISAGGREGATED,SHIPPING_ID,SHIPMENT_MODE,ORDER_ID,PACK_ID,EFFECTIVE_COUPON_AMOUNT
2024-02-04T07:50:43.000-04:00,71596666960,3759765.0,release,refund,0.0,2576.48,-2690.0,0.0,65.1,0.0,0.0,48.42,0.0,1,available_money,entre_rios,0.0,2024-02-02T04:37:02.000-04:00,,,,,,,ARS,"[{amount"":5.38,""detail"":""tax_withholding_sirtac"",""financial_entity"":""entre_rios""},{""amount"":13.45,""detail"":""tax_withholding"",""financial_entity"":""retencion_ganancias""},{""amount"":13.45,""detail"":""tax_withholding"",""financial_entity"":""retencion_iva""},{""amount"":16.14,""detail"":""tax_withholding_collector"",""financial_entity"":""debitos_creditos""}]""",,,,,0.0
2024-02-04T07:50:47.000-04:00,69782144273,3534936.0,release,payment,1117.73,0.0,1265.07,0.0,-27.58,0.0,0.0,-119.76,0.0,1,visa,buenos_aires,0.0,2024-01-05T08:49:29.000-04:00,,,,,,,ARS,"[{amount"":-13.31,""detail"":""tax_withholding_sirtac"",""financial_entity"":""buenos_aires""},{""amount"":-39.92,""detail"":""tax_withholding_collector"",""financial_entity"":""debitos_creditos""},{""amount"":-66.53,""detail"":""tax_withholding"",""financial_entity"":""retencion_ganancias""}]""",,,,,0.0
2024-02-04T07:50:58.000-04:00,71596717980,3759770.0,release,payment,7566.62,0.0,7900.0,0.0,-191.18,0.0,0.0,-142.2,0.0,1,available_money,buenos_aires,0.0,2024-02-01T08:49:00.000-04:00,,,,,,,ARS,"[{amount"":-15.80,""detail"":""tax_withholding_sirtac"",""financial_entity"":""buenos_aires""},{""amount"":-39.50,""detail"":""tax_withholding"",""financial_entity"":""retencion_ganancias""},{""amount"":-39.50,""detail"":""tax_withholding"",""financial_entity"":""retencion_iva""},{""amount"":-47.40,""detail"":""tax_withholding_collector"",""financial_entity"":""debitos_creditos""}]""",,,,,0.0
2024-02-04T07:50:59.000-04:00,69788108147,3536181.0,release,payment,14175.93,0.0,14811.88,0.0,-322.9,0.0,0.0,-313.05,0.0,1,visa,buenos_aires,0.0,2024-01-05T08:54:44.000-04:00,,,,,,,ARS,"[{amount"":-34.78,""detail"":""tax_withholding_sirtac"",""financial_entity"":""buenos_aires""},{""amount"":-104.35,""detail"":""tax_withholding_collector"",""financial_entity"":""debitos_creditos""},{""amount"":-173.92,""detail"":""tax_withholding"",""financial_entity"":""retencion_ganancias""}]""",,,,,0.0
2024-02-04T07:51:03.000-04:00,71390153663,3759793.0,release,payment,10984.82,0.0,11529.0,0.0,-279.0,0.0,0.0,-265.18,11298.42,1,available_money,caba,0.0,2024-02-01T08:51:31.000-04:00,,,,,,,ARS,"[{amount"":-23.06,""detail"":""tax_withholding_sirtac"",""financial_entity"":""caba""},{""amount"":-57.65,""detail"":""tax_withholding"",""financial_entity"":""caba""},{""amount"":-57.65,""detail"":""tax_withholding"",""financial_entity"":""retencion_ganancias""},{""amount"":-57.65,""detail"":""tax_withholding"",""financial_entity"":""retencion_iva""},{""amount"":-69.17,""detail"":""tax_withholding_collector"",""financial_entity"":""debitos_creditos""}]""",,,,,0.0
2024-02-04T07:51:14.000-04:00,69801078261,3538366.0,release,payment,9722.98,0.0,10126.0,0.0,-220.75,0.0,0.0,-182.27,0.0,1,visa,buenos_aires,0.0,2024-01-05T08:46:41.000-04:00,,,,,,,ARS,"[{amount"":-20.25,""detail"":""tax_withholding_sirtac"",""financial_entity"":""buenos_aires""},{""amount"":-60.76,""detail"":""tax_withholding_collector"",""financial_entity"":""debitos_creditos""},{""amount"":-101.26,""detail"":""tax_withholding"",""financial_entity"":""retencion_ganancias""}]""",,,,,0.0
2024-02-04T07:51:20.000-04:00,71390375499,3759808.0,release,payment,9878.26,0.0,10313.5,0.0,-249.59,0.0,0.0,-185.65,0.0,1,available_money,buenos_aires,0.0,2024-02-01T08:54:14.000-04:00,,,,,,,ARS,"[{amount"":-20.63,""detail"":""tax_withholding_sirtac"",""financial_entity"":""buenos_aires""},{""amount"":-51.57,""detail"":""tax_withholding"",""financial_entity"":""retencion_ganancias""},{""amount"":-51.57,""detail"":""tax_withholding"",""financial_entity"":""retencion_iva""},{""amount"":-61.88,""detail"":""tax_withholding_collector"",""financial_entity"":""debitos_creditos""}]""",,,,,0.0
2024-02-04T07:51:20.000-04:00,71390375499,3759808.0,release,refund,0.0,660.88,-690.0,0.0,16.7,0.0,0.0,12.42,0.0,1,available_money,buenos_aires,0.0,2024-02-02T04:37:13.000-04:00,,,,,,,ARS,"[{amount"":1.38,""detail"":""tax_withholding_sirtac"",""financial_entity"":""buenos_aires""},{""amount"":3.45,""detail"":""tax_withholding"",""financial_entity"":""retencion_ganancias""},{""amount"":3.45,""detail"":""tax_withholding"",""financial_entity"":""retencion_iva""},{""amount"":4.14,""detail"":""tax_withholding_collector"",""financial_entity"":""debitos_creditos""}]""",,,,,0.0
2024-02-04T07:52:50.000-04:00,71280491848,3718373.0,release,reserve_for_refund,0.0,2034.48,-2034.48,0.0,0.0,0.0,0.0,0.0,0.0,1,available_money,,0.0,2024-02-04T07:52:50.000-04:00,,,,,,,ARS,[],,,,,0.0
2024-02-04T07:52:50.000-04:00,71280491848,3718373.0,release,reserve_for_refund,2034.48,0.0,2034.48,0.0,0.0,0.0,0.0,0.0,0.0,1,available_money,,0.0,2024-02-04T07:52:50.000-04:00,,,,,,,ARS,[],,,,,0.0
